"","dictionary"
"1","exhibit"
"2","h"
"3","fry"
"4","report"
"5","to"
"6","the"
"7","board"
"8","of"
"9","directors"
"10","manufacturing"
"11","chemists"
"12","association"
"13","by"
"14","r"
"15","e"
"16","phillips"
"17","chairman"
"18","transportation"
"19","equipment"
"20","committee"
"21","may"
"22","this"
"23","report"
"24","is"
"25","on"
"26","behalf"
"27","of"
"28","the"
"29","mca"
"30","transportation"
"31","equipment"
"32","committee"
"33","i"
"34","the"
"35","tec"
"36","needs"
"37","no"
"38","introduction"
"39","but"
"40","a"
"41","review"
"42","of"
"43","its"
"44","charter"
"45","is"
"46","useful"
"47","the"
"48","committee"
"49","is"
"50","comprised"
"51","of"
"52","representatives"
"53","of"
"54","member"
"55","companies"
"56","and"
"57","handles"
"58","technical"
"59","and"
"60","technically"
"61","related"
"62","problems"
"63","having"
"64","to"
"65","do"
"66","with"
"67","the"
"68","transportation"
"69","of"
"70","chemicals"
"71","by"
"72","tank"
"73","car"
"74","tank"
"75","truck"
"76","portable"
"77","and"
"78","intermodal"
"79","tank"
"80","barge"
"81","and"
"82","bulk"
"83","ship"
"84","to"
"85","accomplish"
"86","this"
"87","task"
"88","three"
"89","standing"
"90","subcommittees"
"91","deal"
"92","in"
"93","the"
"94","separata"
"95","areas"
"96","of"
"97","rail"
"98","truckportable"
"99","tank"
"100","aid"
"101","marine"
"102","the"
"103","chairmen"
"104","of"
"105","these"
"106","groups"
"107","are"
"108","e"
"109","g"
"110","hansen"
"111","dupont"
"112","v"
"113","h"
"114","goodwin"
"115","exxon"
"116","and"
"117","m"
"118","m"
"119","anderson"
"120","union"
"121","carbide"
"122","respectively"
"123","our"
"124","vice"
"125","chairman"
"126","is"
"127","j"
"128","r"
"129","hopkins"
"130","dow"
"131","we"
"132","operate"
"133","under"
"134","rules"
"135","of"
"136","practice"
"137","as"
"138","by"
"139","the"
"140","mca"
"141","board"
"142","approved"
"143","to"
"144","enhance"
"145","our"
"146","technical"
"147","activit"
"148","ies"
"149","we"
"150","enjoy"
"151","advisory"
"152","support"
"153","from"
"154","individual"
"155","tank"
"156","car"
"157","engineers"
"158","and"
"159","we"
"160","have"
"161","an"
"162","associate"
"163","member"
"164","from"
"165","the"
"166","bureau"
"167","of"
"168","explosives"
"169","the"
"170","tec"
"171","chairman"
"172","represents"
"173","the"
"174","mca"
"175","as"
"176","a"
"177","member"
"178","of"
"179","the"
"180","aar"
"181","tank"
"182","car"
"183","committee"
"184","we"
"185","have"
"186","a"
"187","voice"
"188","on"
"189","the"
"190","american"
"191","national"
"192","standards"
"193","institute"
"194","committee"
"195","dealing"
"196","with"
"197","intermodal"
"198","containers"
"199","and"
"200","we"
"201","have"
"202","informal"
"203","liaison"
"204","with"
"205","the"
"206","national"
"207","tank"
"208","truck"
"209","carriers"
"210","and"
"211","the"
"212","truck"
"213","trailer"
"214","manufacturers"
"215","association"
"216","several"
"217","of"
"218","our"
"219","marine"
"220","subcommitte"
"221","members"
"222","are"
"223","active"
"224","on"
"225","the"
"226","coast"
"227","guards"
"228","chemical"
"229","transportation"
"230","industry"
"231","advisory"
"232","committe"
"233","our"
"234","most"
"235","famous"
"236","alumnus"
"237","is"
"238","j"
"239","t"
"240","curtis"
"241","jr"
"242","formerly"
"243","of"
"244","u"
"245","s"
"246","steel"
"247","and"
"248","now"
"249","director"
"250","of"
"251","the"
"252","materials"
"253","transportation"
"254","bureau"
"255","of"
"256","dot"
"257","highlights"
"258","of"
"259","current"
"260","activities"
"261","d"
"262","m"
"263","longs"
"264","report"
"265","of"
"266","committee"
"267","activites"
"268","in"
"269","may"
"270","last"
"271","year"
"272","still"
"273","applies"
"274","in"
"275","great"
"276","measure"
"277","we"
"278","continue"
"279","to"
"280","devote"
"281","significant"
"282","activity"
"283","to"
"284","these"
"285","items"
"286","tank"
"287","car"
"288","safety"
"289","relief"
"290","devices"
"291","proposals"
"292","are"
"293","being"
"294","processed"
"295","for"
"296","suggested"
"297","rulemaking"
"298","concerning"
"299","safety"
"300","relief"
"301","valves"
"302","for"
"303","tank"
"304","cars"
"305","carrying"
"306","products"
"307","which"
"308","should"
