"","dictionary"
"1","exhibit"
"2","b"
"3","proposed"
"4","project"
"5","on"
"6","hydrocarbon"
"7","emission"
"8","control"
"9","cost"
"10","analysis"
"11","the"
"12","air"
"13","quality"
"14","committee"
"15","recommends"
"16","mca"
"17","engage"
"18","an"
"19","inde­"
"20","pendent"
"21","contractor"
"22","to"
"23","conduct"
"24","a"
"25","study"
"26","of"
"27","the"
"28","cost"
"29","of"
"30","control­"
"31","ling"
"32","emissions"
"33","to"
"34","the"
"35","unprecedented"
"36","new"
"37","low"
"38","levels"
"39","being"
"40","planned"
"41","by"
"42","the"
"43","environmental"
"44","protection"
"45","agency"
"46","the"
"47","committee"
"48","further"
"49","recommends"
"50","the"
"51","study"
"52","requiring"
"53","months"
"54","at"
"55","a"
"56","pro­"
"57","posed"
"58","cost"
"59","of"
"60","be"
"61","assigned"
"62","to"
"63","foster"
"64","d"
"65","snell"
"66","some"
"67","member"
"68","company"
"69","timates"
"70","place"
"71","the"
"72","new"
"73","permanent"
"74","in­"
"75","vestment"
"76","cost"
"77","at"
"78","billion"
"79","to"
"80","billion"
"81","for"
"82","reducing"
"83","an"
"84","es­"
"85","timated"
"86","million"
"87","tons"
"88","per"
"89","year"
"90","of"
"91","hydrocarbon"
"92","emissions"
"93","to"
"94","the"
"95","new"
"96","levels"
"97","annual"
"98","operating"
"99","and"
"100","maintenance"
"101","costs"
"102","would"
"103","be"
"104","in"
"105","draft"
"106","epa"
"107","guideline"
"108","documents"
"109","indicate"
"110","estimates"
"111","of"
"112","control"
"113","costs"
"114","at"
"115","much"
"116","lower"
"117","levels"
"118","the"
"119","critical"
"120","nature"
"121","of"
"122","the"
"123","contemplated"
"124","reductions"
"125","can"
"126","be"
"127","appreci­"
"128","ated"
"129","from"
"130","realizing"
"131","that"
"132","lbsday"
"133","may"
"134","be"
"135","the"
"136","maximum"
"137","allowed"
"138","whereas"
"139","lbsday"
"140","now"
"141","are"
"142","permitted"
"143","in"
"144","most"
"145","circumstances"
"146","the"
"147","study"
"148","has"
"149","been"
"150","designed"
"151","to"
"152","ascertain"
"153","how"
"154","much"
"155","it"
"156","will"
"157","cost"
"158","using"
"159","reasonably"
"160","available"
"161","control"
"162","technology"
"163","ract"
"164","to"
"165","reach"
"166","four"
"167","levels"
"168","of"
"169","hourly"
"170","emission"
"171","rates"
"172","and"
"173","four"
"174","levels"
"175","of"
"176","daily"
"177","rate"
"178","limits"
"179","the"
"180","study"
"181","will"
"182","yield"
"183","data"
"184","necessary"
"185","to"
"186","es­"
"187","tablish"
"188","the"
"189","relevant"
"190","costbenefit"
"191","correlations"
"192","needed"
"193","to"
"194","define"
"195","the"
"196","crucial"
"197","point"
"198","of"
"199","diminishing"
"200","return"
"201","and"
"202","the"
"203","cost"
"204","effectiv"
"205","ness"
"206","of"
"207","at"
"208","least"
"209","four"
"210","basic"
"211","ract"
"212","methods"
"213","data"
"214","will"
"215","be"
"216","provided"
"217","by"
"218","mca"
"219","member"
"220","company"
"221","plants"
"222","analysis"
"223","will"
"224","be"
"225","made"
"226","by"
"227","the"
"228","contractor"
"229","it"
"230","is"
"231","expected"
"232","that"
"233","about"
"234","individual"
"235","member"
"236","company"
"237","plant"
"238","responses"
"239","will"
"240","be"
"241","obtained"
"242","data"
"243","will"
"244","be"
"245","encoded"
"246","for"
"247","confidentiality"
"248","and"
"249","to"
"250","facilitate"
"251","retrieval"
"252","for"
"253","analysis"
"254","original"
"255","data"
"256","sheets"
"257","will"
"258","not"
"259","be"
"260","copied"
"261","and"
