"","dictionary"
"1","exhibit"
"2","i"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","of"
"10","manufacturing"
"11","chemists"
"12","association"
"13","john"
"14","b"
"15","clark"
"16","chairman"
"17","patent"
"18","and"
"19","trademark"
"20","committee"
"21","september"
"22","you"
"23","will"
"24","recall"
"25","that"
"26","it"
"27","is"
"28","the"
"29","responsibility"
"30","of"
"31","the"
"32","patent"
"33","nd"
"34","trademark"
"35","committee"
"36","to"
"37","maintain"
"38","an"
"39","awareness"
"40","of"
"41","new"
"42","developments"
"43","in"
"44","the"
"45","industrial"
"46","property"
"47","field"
"48","having"
"49","present"
"50","or"
"51","prospective"
"52","impact"
"53","on"
"54","the"
"55","chemical"
"56","industry"
"57","to"
"58","determine"
"59","mca"
"60","positions"
"61","where"
"62","warranted"
"63","and"
"64","to"
"65","act"
"66","either"
"67","directly"
"68","or"
"69","through"
"70","the"
"71","board"
"72","of"
"73","directors"
"74","as"
"75","is"
"76","apprpriate"
"77","in"
"78","making"
"79","mca"
"80","viewpoints"
"81","known"
"82","last"
"83","october"
"84","i"
"85","had"
"86","the"
"87","opportunity"
"88","to"
"89","report"
"90","to"
"91","you"
"92","on"
"93","the"
"94","status"
"95","of"
"96","patent"
"97","legislation"
"98","in"
"99","the"
"100","congress"
"101","you"
"102","will"
"103","recall"
"104","it"
"105","was"
"106","predicted"
"107","that"
"108","s"
"109","would"
"110","be"
"111","passed"
"112","by"
"113","the"
"114","senate"
"115","and"
"116","forwarded"
"117","to"
"118","he"
"119","house"
"120","for"
"121","their"
"122","consideration"
"123","you"
"124","will"
"125","also"
"126","recall"
"127","that"
"128","in"
"129","the"
"130","hkinion"
"131","of"
"132","your"
"133","patent"
"134","committee"
"135","s"
"136","is"
"137","an"
"138","illconceived"
"139","piece"
"140","of"
"141","legislation"
"142","which"
"143","will"
"144","have"
"145","a"
"146","serious"
"147","negative"
"148","impact"
"149","on"
"150","the"
"151","value"
"152","of"
"153","the"
"154","patent"
"155","system"
"156","s"
"157","was"
"158","passed"
"159","by"
"160","the"
"161","senate"
"162","and"
"163","sent"
"164","to"
"165","the"
"166","house"
"167","with"
"168","little"
"169","substantive"
"170","amendment"
"171","despite"
"172","serious"
