"","dictionary"
"1","exhibit"
"2","g"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","george"
"13","a"
"14","coffenberg"
"15","chairman"
"16","transportation"
"17","and"
"18","distribution"
"19","committee"
"20","may"
"21","in"
"22","ray"
"23","initial"
"24","report"
"25","for"
"26","the"
"27","transportation"
"28","and"
"29","distribution"
"30","committee"
"31","on"
"32","april"
"33","of"
"34","last"
"35","year"
"36","i"
"37","restricted"
"38","my"
"39","comments"
"40","to"
"41","two"
"42","items"
"43","of"
"44","major"
"45","sig­"
"46","nificance"
"47","having"
"48","future"
"49","impact"
"50","on"
"51","the"
"52","chemical"
"53","industry"
"54","a"
"55","more"
"56","detailed"
"57","report"
"58","on"
"59","the"
"60","committees"
"61","activities"
"62","was"
"63","appended"
"64","to"
"65","my"
"66","remarks"
"67","today"
"68","my"
"69","oral"
"70","report"
"71","will"
"72","focus"
"73","on"
"74","three"
"75","topics"
"76","and"
"77","i"
"78","refer"
"79","you"
"80","to"
"81","the"
"82","filed"
"83","report"
"84","for"
"85","the"
"86","balance"
"87","the"
"88","chemical"
"89","industry"
"90","owns"
"91","or"
"92","operates"
"93","approximately"
"94","tank"
"95","cars"
"96","and"
"97","is"
"98","compensated"
"99","by"
"100","the"
"101","railroads"
"102","through"
"103","a"
"104","mileage"
"105","allowance"
"106","of"
"107","from"
"108","to"
"109","per"
"110","loaded"
"111","car"
"112","mile"
"113","depending"
"114","on"
"115","the"
"116","value"
"117","of"
"118","the"
"119","car"
"120","the"
"121","rail­"
"122","roads"
"123","pay"
"124","an"
"125","allowance"
"126","to"
"127","suppliers"
"128","of"
"129","private"
"130","rail"
"131","cars"
"132","in"
"133","that"
"134","freight"
"135","rates"
"136","take"
"137","into"
"138","consideration"
"139","a"
"140","cost"
"141","to"
"142","the"
"143","railroads"
"144","of"
"145","supplying"
"146","cars"
"147","prior"
"148","to"
"149","the"
"150","allowance"
"151","per"
"152","mile"
"153","was"
"154","a"
"155","onelevel"
"156","allowance"
"157","a"
"158","car"
"159","owner"
"160","or"
"161","opera­"
"162","tor"
"163","was"
"164","paid"
"165","the"
"166","same"
"167","rate"
"168","per"
"169","mile"
"170","irrespective"
"171","of"
"172","whether"
"173","a"
"174","car"
"175","had"
"176","a"
"177","value"
"178","the"
"179","chemical"
"180","industry"
"181","having"
"182","the"
"183","newer"
"184","and"
"185","higher"
"186","valued"
"187","cars"
"188","was"
"189","of"
"190","the"
"191","opinion"
"192","that"
"193","the"
"194","compensation"
"195","paid"
"196","by"
"197","the"
"198","railroads"
"199","should"
"200","recognize"
"201","the"
"202","difference"
"203","of"
"204","investment"
"205","in"
"206","the"
"207","cars"
"208","and"
"209","pay"
"210","a"
"211","higher"
"212","allowance"
"213","to"
"214","the"
"215","more"
"216","valuable"
"217","cars"
"218","than"
"219","paid"
"220","to"
"221","cars"
"222","of"
"223","lower"
"224","value"
"225","after"
"226","long"
"227","negotiations"
"228","a"
"229","trilevel"
"230","system"
"231","of"
"232","compensation"
"233","was"
