"","dictionary"
"314","a"
"315","consensus"
"316","energy"
"317","conservation"
"318","goal"
"319","of"
"320","per"
"321","unit"
"322","of"
"323","output"
"324","by"
"325","calendar"
"326","as"
"327","compared"
"328","with"
"329","cma"
"330","calendar"
"331","since"
"332","december"
"333","when"
"334","the"
"335","president"
"336","signed"
"337","into"
"338","law"
"339","the"
"340","energy"
"341","policy"
"342","and"
"343","conservation"
"344","act"
"345","the"
"346","committee"
"347","has"
"348","been"
"349","seeking"
"350","to"
"351","cope"
"352","with"
"353","the"
"354","new"
"355","industrial"
"356","energy"
"357","conservation"
"358","pro­"
"359","visions"
"360","which"
"361","are"
"362","part"
"363","of"
"364","this"
"365","act"
"366","the"
"367","act"
"368","focuses"
"369","on"
"370","the"
"371","ten"
"372","leading"
"373","energyconsuming"
"374","industries"
"375","by"
"376","twodigit"
"377","sic"
"378","codes"
"379","officially"
"380","identified"
"381","early"
"382","this"
"383","year"
"384","not"
"385","surprisingly"
"386","our"
"387","industry"
"388","sic"
"389","ranks"
"390","first"
"391","for"
"392","each"
"393","of"
"394","these"
"395","top"
"396","industries"
"397","fea"
"398","is"
"399","to"
"400","set"
"401","an"
"402","energy"
"403","conservation"
"404","goal"
"405","replacing"
"406","the"
"407","consensus"
"408","goals"
"409","under"
"410","which"
"411","many"
"412","industries"
"413","including"
"414","ours"
"415","have"
"416","been"
"417","operating"
"418","fea"
"419","has"
"420","contracted"
"421","with"
"422","outside"
"423","consultants"
"424","to"
"425","study"
"426","each"
"427","of"
"428","the"
"429","ten"
"430","industries"
"431","and"
"432","propose"
"433","goals"
"434","which"
"435","of"
"436","course"
"437","fea"
"438","can"
"439","accept"
"440","or"
"441","modify"
"442","because"
"443","of"
"444","the"
"445","complexity"
"446","of"
"447","the"
"448","chemical"
"449","industry"
"450","fea"
"451","initially"
"452","had"
"453","difficulty"
"454","getting"
"455","an"
"456","appropriate"
"457","contractor"
"458","to"
"459","take"
"460","on"
"461","the"
"462","job"
"463","however"
"464","thanks"
"465","in"
"466","part"
"467","to"
"468","mcas"
"469","interest"
"470","in"
"471","having"
"472","a"
"473","qualified"
"474","contractor"
"475","take"
"476","on"
"477","this"
"478","responsibility"
"479","battelle"
"480","memorial"
"481","institute"
"482","finally"
"483","undertook"
"484","it"
"485","with"
"486","chem"
"487","systems"
"488","as"
"489","subcontractor"
"490","the"
"491","engineering"
"492","and"
"493","technical"
"494","subcommittee"
"495","of"
"496","the"
"497","energy"
"498","conservation"
"499","committee"
"500","worked"
"501","closely"
"502","with"
"503","the"
"504","contractors"
"505","aiding"
"506","them"
"507","individually"
"508","and"
"509","collectively"
"510","in"
"511","their"
"512","demanding"
"513","task"
"514","and"
"515","contributing"
"516","their"
"517","ex­"
"518","pertise"
"519","in"
"520","methodology"
"521","the"
"522","contractors"
"523","have"
"524","submitted"
"525","their"
"526","report"
"527","and"
"528","it"
"529","will"
"530","be"
"531","published"
"532","in"
"533","the"
"534","federal"
"535","register"
"536","in"
"537","late"
"538","september"
"539","with"
"540","public"
"541","hearings"
"542","in"
"543","october"
"544","it"
"545","is"
"546","quite"
"547","possible"
"548","that"
"549","consumer"
"550","and"
"551","environmental"
"552","groups"
"553","may"
"554","testify"
"555","in"
"556","opposition"
"557","to"
"558","any"
"559","proposed"
"560","reasonable"
"561","target"
"562","for"
"563","our"
"564","industry"
"565","so"
"566","mca"
"567","must"
"568","be"
"569","prepared"
"570","to"
"571","testify"
"572","in"
"573","its"
"574","own"
"575","behalf"
"576","internal"
"577","studies"
"578","carried"
"579","on"
"580","by"
"581","the"
"582","committee"
"583","indicate"
"584","that"
"585","the"
"586","in­"
"587","dustry"
"588","can"
"589","meet"
"590","a"
"591","target"
"592","in"
"593","the"
"594","neighborhood"
"595","of"
"596","in"
"597","further"
"598","conformity"
"599","with"
"600","epca"
"601","requirements"
"602","fea"
"603","must"
"604","identify"
"605","the"
"606","top"
"607","energyconsuming"
"608","companies"
"609","in"
"610","each"
"611","of"
"612","the"
"613","ten"
"614","alreadyiden­"
"615","tified"
"616","industries"
"617","either"
"618","the"
"619","highestranking"
"620","companies"
"621","or"
"622","those"
"623","using"
"624","over"
"625","a"
"626","trillion"
"627","btus"
"628","in"
"629","energy"
"630","per"
"631","year"
"632","whichever"
"633","number"
"634","is"
"635","smaller"
"636","some"
"637","companies"
"638","reporting"
"639","through"
"640","mca"
"641","have"
"642","listed"
"643","energy"
"644","purchases"
"645","of"
"646","over"
"647","a"
"648","trillion"
"649","btus"
"650","a"
"651","year"
"652","and"
"653","there"
"654","may"
"655","be"
"656","other"
"657","such"
"658","companies"
"659","reporting"
"660","through"
"661","the"
"662","fertilizer"
"663","institute"
"664","etc"
"665","it"
"666","therefore"
"667","seems"
"668","likely"
"669","that"
"670","the"
"671","cutoff"
"672","point"
"673","for"
"674","chemical"
"675","companies"
"676","will"
"677","be"
"678","somewhat"
"679","over"
"680","a"
"681","trillion"
"682","btus"
"683","per"
"684","cma"
"685","r"
"686","under"
"687","epca"
"688","provisions"
"689","and"
"690","regulations"
"691","companies"
"692","reporting"
"693","through"
"694","industry"
"695","programs"
"696","such"
"697","as"
"698","mcas"
"699","may"
"700","be"
"701","exempted"
"702","from"
"703","indi­"
"704","vidual"
"705","reporting"
"706","even"
"707","if"
"708","it"
"709","would"
"710","otherwise"
"711","be"
"712","required"
"713","of"
"714","them"
"715","the"
"716","criteria"
"717","for"
"718","acceptable"
"719","industry"
"720","programs"
"721","will"
"722","be"
"723","published"
"724","in"
"725","the"
"726","federal"
"727","register"
"728","however"
"729","because"
"730","fea"
"731","is"
"732","falling"
"733","behind"
"734","its"
"735","epca"
"736","timetable"
"737","there"
"738","remains"
"739","a"
"740","chance"
"741","that"
"742","companies"
"743","may"
"744","have"
"745","to"
"746","file"
"747","at"
"748","least"
"749","one"
"750","mandatory"
"751","individual"
"752","report"
"753","in"
"754","early"
"755","another"
"756","section"
"757","of"
"758","epca"
"759","provides"
"760","for"
"761","the"
"762","encouragement"
"763","and"
"764","subsidy"
"765","of"
"766","state"
"767","energy"
"768","programs"
"769","here"
"770","mcas"
"771","prime"
"772","interest"
"773","is"
"774","in"
"775","exempting"
"776","major"
"777","industries"
"778","like"
"779","ours"
"780","from"
"781","reporting"
"782","to"
"783","the"
"784","various"
"785","states"
"786","since"
"787","they"
"788","already"
"789","report"
"790","to"
"791","federal"
"792","agencies"
"793","if"
"794","however"
"795","some"
"796","states"
"797","insist"
"798","upon"
"799","industrial"
"800","energy"
"801","conservation"
"802","reporting"
"803","w"
"804","would"
"805","urge"
"806","them"
"807","to"
"808","adopt"
"809","the"
"810","same"
"811","system"
"812","already"
"813","in"
"814","effect"
"815","for"
"816","federal"
"817","reporting"
"818","after"
"819","monitoring"
"820","two"
"821","regional"
"822","hearings"
"823","on"
"824","state"
"825","programs"
"826","mca"
"827","testified"
"828","to"
"829","this"
"830","effect"
"831","at"
"832","the"
"833","plenary"
"834","hearing"
"835","in"
"836","washington"
"837","in"
"838","july"
"839","another"
"840","area"
"841","of"
"842","fea"
"843","concern"
"844","outside"
"845","of"
"846","epca"
"847","is"
"848","its"
"849","program"
"850","to"
"851","promote"
"852","fuel"
"853","conversion"
"854","from"
"855","oil"
"856","and"
"857","gas"
"858","to"
"859","coal"
"860","the"
"861","future"
"862","issues"
"863","subcommittee"
"864","of"
"865","the"
"866","energy"
"867","conservation"
"868","committee"
"869","has"
"870","monitored"
"871","the"
"872","questionnaires"
"873","to"
"874","be"
"875","sent"
"876","out"
"877","to"
"878","companies"
"879","in"
"880","this"
"881","area"
"882","and"
"883","has"
"884","made"
"885","recommendations"
"886","which"
"887","have"
"888","been"
"889","persuasively"
"890","relayed"
"891","to"
"892","fea"
"893","through"
"894","a"
"895","task"
"896","force"
"897","of"
"898","the"
"899","industrial"
"900","energy"
"901","users"
"902","forum"
"903","a"
"904","genuine"
"905","success"
"906","was"
"907","realized"
"908","in"
"909","modifying"
"910","some"
"911","unreasonable"
"912","re­"
"913","quests"
"914","eg"
"915","obtrusive"
"916","financial"
"917","questions"
"918","in"
"919","the"
"920","major"
"921","fuelburning"
"922","installation"
"923","questionnaire"
"924","the"
"925","energy"
"926","conservation"
"927","committee"
"928","has"
"929","four"
"930","subcommittees"
"931","engineering"
"932","and"
"933","technical"
"934","state"
"935","relations"
"936","fuel"
"937","types"
"938","and"
"939","future"
"940","issues"
"941","it"
"942","has"
"943","also"
"944","established"
"945","fruitful"
"946","liaison"
"947","with"
"948","three"
"949","other"
"950","mca"
"951","standing"
"952","committees"
"953","government"
"954","relations"
"955","legal"
"956","advisory"
"957","and"
"958","public"
"959","relations"
"960","government"
"961","relations"
"962","contacts"
"963","have"
"964","been"
"965","useful"
"966","in"
"967","dealing"
"968","with"
"969","legislation"
"970","going"
"971","through"
"972","the"
"973","congress"
"974","concerned"
"975","in"
"976","one"
"977","way"
"978","or"
"979","another"
"980","with"
"981","energy"
"982","conservation"
"983","public"
"984","relations"
"985","have"
"986","helped"
"987","in"
"988","the"
"989","explanation"
"990","of"
"991","the"
"992","effect"
"993","on"
"994","energy"
"995","conservation"
"996","of"
"997","the"
"998","relatively"
"999","low"
"1000","capacity"
"1001","at"
"1002","which"
"1003","the"
"1004","industry"
"1005","was"
"1006","functioning"
"1007","in"
"1008","calendar"
"1009","and"
"1010","our"
"1011","presentation"
"1012","in"
"1013","this"
"1014","regard"
"1015","was"
"1016","welcomed"
"1017","by"
"1018","the"
"1019","department"
"1020","of"
"1021","commerce"
"1022","and"
"1023","the"
"1024","federal"
"1025","energy"
"1026","administration"
"1027","as"
"1028","supportiv"
"1029","of"
"1030","their"
"1031","reports"
"1032","to"
"1033","the"
"1034","public"
"1035","furthermore"
"1036","public"
"1037","relations"
"1038","ass"
"1039","mbled"
"1040","and"
"1041","distributed"
"1042","internal"
"1043","and"
"1044","external"
"1045","publica­"
"1046","tions"
"1047","by"
"1048","m"
"1049","mber"
"1050","companies"
"1051","designed"
"1052","to"
"1053","promote"
"1054","energy"
"1055","conservation"
"1056","we"
"1057","shall"
"1058","look"
"1059","to"
"1060","legal"
"1061","advisory"
"1062","liaison"
"1063","for"
"1064","advice"
"1065","in"
"1066","preparing"
"1067","testimony"
"1068","for"
"1069","the"
"1070","various"
"1071","public"
"1072","hearings"
"1073","which"
"1074","will"
"1075","be"
"1076","scheduled"
"1077","as"
"1078","part"
"1079","of"
"1080","the"
"1081","epca"
"1082","program"
"1083","cma"
"1084","appendix"
"1085","to"
"1086","exhibit"
"1087","h"
"1088","appendix"
"1089","energy"
"1090","situation"
"1091","update"
"1092","total"
"1093","energy"
"1094","total"
"1095","energy"
"1096","demand"
"1097","declined"
"1098","over"
"1099","the"
"1100","period"
"1101","during"
"1102","the"
"1103","first"
"1104","half"
"1105","of"
"1106","energy"
"1107","demand"
"1108","increased"
"1109","sharply"
"1110","and"
"1111","the"
"1112","yearend"
"1113","demand"
"1114","is"
"1115","expected"
"1116","to"
"1117","near"
"1118","levels"
"1119","post"
"1120","energy"
"1121","demand"
"1122","is"
"1123","projected"
"1124","to"
"1125","grow"
"1126","oil"
"1127","oil"
"1128","products"
"1129","demand"
"1130","declined"
"1131","from"
"1132","to"
"1133","mm"
"1134","bd"
"1135","aai"
"1136","during"
"1137","during"
"1138","the"
"1139","first"
"1140","half"
"1141","of"
"1142","oil"
"1143","products"
"1144","demand"
"1145","increased"
"1146","sharply"
"1147","nearing"
"1148","the"
"1149","levels"
"1150","domestic"
"1151","crude"
"1152","oil"
"1153","production"
"1154","declined"
"1155","at"
"1156","about"
"1157","aai"
"1158","although"
"1159","the"
"1160","first"
"1161","half"
"1162","of"
"1163","showed"
"1164","a"
"1165","slowing"
"1166","of"
"1167","this"
"1168","decline"
"1169","imports"
"1170","crude"
"1171","oil"
"1172","and"
"1173","products"
"1174","reached"
"1175","a"
"1176","record"
"1177","level"
"1178","near"
"1179","first"
"1180","half"
"1181","of"
"1182","and"
"1183","are"
"1184","expected"
"1185","to"
"1186","approach"
"1187","to"
"1188","north"
"1189","slope"
"1190","crude"
"1191","oil"
"1192","is"
"1193","expected"
"1194","to"
"1195","provide"
"1196","about"
"1197","mm"
"1198","bd"
"1199","by"
"1200","the"
"1201","early"
"1202","s"
"1203","and"
"1204","reverse"
"1205","the"
"1206","decline"
"1207","in"
"1208","domestic"
"1209","production"
"1210","through"
"1211","the"
"1212","s"
"1213","the"
"1214","transalaskan"
"1215","pipeline"
"1216","is"
"1217","about"
"1218","a"
"1219","month"
"1220","behind"
"1221","schedule"
"1222","and"
"1223","completion"
"1224","could"
"1225","be"
"1226","delayed"
"1227","even"
"1228","further"
"1229","due"
"1230","to"
"1231","welding"
"1232","defects"
"1233","current"
"1234","target"
"1235","completion"
"1236","date"
"1237","is"
"1238","december"
"1239","outer"
"1240","continental"
"1241","shelf"
"1242","lease"
"1243","sales"
"1244","have"
"1245","been"
"1246","held"
"1247","for"
"1248","alaska"
"1249","california"
"1250","and"
"1251","atlantic"
"1252","the"
"1253","development"
"1254","schedule"
"1255","for"
"1256","these"
"1257","leases"
"1258","is"
"1259","undecided"
"1260","the"
"1261","energy"
"1262","policy"
"1263","and"
"1264","conservation"
"1265","act"
"1266","december"
"1267","established"
"1268","a"
"1269","new"
"1270","crude"
"1271","oil"
"1272","pricing"
"1273","mechanism"
"1274","initial"
"1275","crude"
"1276","oil"
"1277","price"
"1278","rollback"
"1279","plus"
"1280","maximum"
"1281","year"
"1282","price"
"1283","increases"
"1284","and"
"1285","required"
"1286","review"
"1287","of"
"1288","oil"
"1289","product"
"1290","price"
"1291","decontrol"
"1292","qto"
"1293","date"
"1294","residual"
"1295","fuel"
"1296","oil"
"1297","distillates"
"1298","naphthas"
"1299","except"
"1300","sng"
"1301","plant"
"1302","feedstock"
"1303","and"
"1304","gas"
"1305","oils"
"1306","have"
"1307","been"
"1308","decontrolled"
"1309","epca"
"1310","required"
"1311","pea"
"1312","to"
"1313","develop"
"1314","a"
"1315","plan"
"1316","for"
"1317","the"
"1318","maintenance"
"1319","and"
"1320","storage"
"1321","equiva­"
"1322","lent"
"1323","of"
"1324","months"
"1325","of"
"1326","imports"
"1327","of"
"1328","readily"
"1329","available"
"1330","inventories"
"1331","of"
"1332","crude"
"1333","and"
"1334","products"
"1335","for"
"1336","use"
"1337","during"
"1338","energy"
"1339","shortages"
"1340","epca"
"1341","also"
"1342","established"
"1343","efficiency"
"1344","standards"
"1345","for"
"1346","automobiles"
"1347","and"
"1348","ef­"
"1349","ficiency"
"1350","targets"
"1351","for"
"1352","major"
"1353","appliances"
"1354","and"
"1355","major"
"1356","industries"
"1357","oil"
"1358","equivalent"
"1359","barrels"
"1360","per"
"1361","day"
"1362","average"
"1363","annual"
"1364","increase"
"1365","cma"
"1366","natural"
"1367","gas"
"1368","domestic"
"1369","production"
"1370","continued"
"1371","to"
"1372","decline"
"1373","aai"
"1374","with"
"1375","production"
"1376","estimated"
"1377","at"
"1378","about"
"1379","trillion"
"1380","cubic"
"1381","feet"
"1382","no"
"1383","reversal"
"1384","of"
"1385","the"
"1386","downward"
"1387","trend"
"1388","is"
"1389","expected"
"1390","through"
"1391","a"
"1392","new"
"1393","pricing"
"1394","program"
"1395","was"
"1396","recently"
"1397","proposed"
"1398","by"
"1399","fpc"
"1400","for"
"1401","escalating"
"1402","the"
"1403","price"
"1404","of"
"1405","three"
"1406","new"
"1407","gas"
"1408","post"
"1409","classifi­"
"1410","cations"
"1411","this"
"1412","program"
"1413","is"
"1414","currently"
"1415","subject"
"1416","to"
"1417","litigation"
"1418","and"
"1419","possible"
"1420","congressional"
"1421","legislation"
"1422","classification"
"1423","iii"
"1424","new"
"1425","gas"
"1426","sale"
"1427","to"
"1428","interstate"
"1429","commerce"
"1430","initiated"
"1431","on"
"1432","or"
"1433","after"
"1434","is"
"1435","raised"
"1436","from"
"1437","about"
"1438","mcf"
"1439","to"
"1440","mcf"
"1441","and"
"1442","escalated"
"1443","at"
"1444","mcfquarter"
"1445","starting"
"1446","coal"
"1447","production"
"1448","has"
"1449","increased"
"1450","at"
"1451","about"
"1452","to"
"1453","aai"
"1454","since"
"1455","with"
"1456","production"
"1457","estimated"
"1458","at"
"1459","about"
"1460","mm"
"1461","tons"
"1462","interiors"
"1463","freeze"
"1464","on"
"1465","coal"
"1466","leasing"
"1467","in"
"1468","the"
"1469","western"
"1470","states"
"1471","is"
"1472","expected"
"1473","to"
"1474","be"
"1475","lifted"
"1476","early"
"1477","in"
"1478","however"
"1479","feas"
"1480","objective"
"1481","of"
"1482","doubling"
"1483","coal"
"1484","produc­"
"1485","tion"
"1486","by"
"1487","is"
"1488","considered"
"1489","optimistic"
"1490","related"
"1491","developments"
"1492","sierra"
"1493","club"
"1494","vs"
"1495","kleppe"
"1496","suit"
"1497","has"
"1498","been"
"1499","settled"
"1500","no"
"1501","extended"
"1502","regional"
"1503","impact"
"1504","statement"
"1505","is"
"1506","required"
"1507","coal"
"1508","leasing"
"1509","act"
"1510","has"
"1511","been"
"1512","enacted"
"1513","over"
"1514","presidential"
"1515","veto"
"1516","sets"
"1517","rules"
"1518","for"
"1519","leasing"
"1520","federal"
"1521","lands"
"1522","interior"
"1523","department"
"1524","surface"
"1525","mine"
"1526","reclamation"
"1527","rules"
"1528","have"
"1529","been"
"1530","established"
"1531","proposed"
"1532","federal"
"1533","strip"
"1534","mining"
"1535","legislation"
"1536","has"
"1537","been"
"1538","vetoed"
"1539","twice"
"1540","in"
"1541","the"
"1542","last"
"1543","two"
"1544","years"
"1545","electric"
"1546","utilities"
"1547","electricity"
"1548","sales"
"1549","which"
"1550","grew"
"1551","at"
"1552","about"
"1553","aai"
"1554","leveled"
"1555","off"
"1556","during"
"1557","increased"
"1558","about"
"1559","in"
"1560","and"
"1561","showed"
"1562","about"
"1563","a"
"1564","gain"
"1565","during"
"1566","the"
"1567","first"
"1568","half"
"1569","of"
"1570","post"
"1571","sales"
"1572","growth"
"1573","fea"
"1574","coal"
"1575","burning"
"1576","orders"
"1577","are"
"1578","now"
"1579","in"
"1580","effect"
"1581","for"
"1582","of"
"1583","the"
"1584","new"
"1585","power"
"1586","plants"
"1587","earlier"
"1588","designated"
"1589","by"
"1590","fea"
"1591","for"
"1592","coal"
"1593","burning"
"1594","facili­"
"1595","ties"
"1596","besides"
"1597","the"
"1598","remaining"
"1599","new"
"1600","power"
"1601","plants"
"1602","an"
"1603","additional"
"1604","new"
"1605","power"
"1606","plants"
"1607","have"
"1608","also"
"1609","been"
"1610","designated"
"1611","for"
"1612","coal"
"1613","burning"
"1614","facilities"
"1615","during"
"1616","existing"
"1617","power"
"1618","plants"
"1619","were"
"1620","issued"
"1621","orders"
"1622","to"
"1623","convert"
"1624","to"
"1625","coal"
"1626","nuclear"
"1627","electricity"
"1628","generation"
"1629","reached"
"1630","about"
"1631","of"
"1632","total"
"1633","genera­"
"1634","tion"
"1635","during"
"1636","the"
"1637","first"
"1638","half"
"1639","of"
"1640","and"
"1641","is"
"1642","expected"
"1643","to"
"1644","increase"
"1645","to"
"1646","about"
"1647","by"
"1648","court"
"1649","rulings"
"1650","held"
"1651","that"
"1652","the"
"1653","environmental"
"1654","effects"
"1655","of"
"1656","the"
"1657","complete"
"1658","nuclear"
"1659","fuel"
"1660","cycle"
"1661","should"
"1662","be"
"1663","considered"
"1664","in"
"1665","individual"
"1666","license"
"1667","applications"
"1668","concerned"
"1669","the"
"1670","vermont"
"1671","yankee"
"1672","plant"
"1673","in"
"1674","operation"
"1675","since"
"1676","and"
"1677","energy"
"1678","conservation"
"1679","should"
"1680","be"
"1681","con­"
"1682","sidered"
"1683","as"
"1684","an"
"1685","alternate"
"1686","to"
"1687","building"
"1688","a"
"1689","nuclear"
"1690","plant"
"1691","cma"
"1692","tpgisiation"
"1693","was"
"1694","recently"
"1695","enacted"
"1696","in"
"1697","california"
"1698","which"
"1699","requires"
"1700","an"
"1701","extensive"
"1702","study"
"1703","of"
"1704","nuclear"
"1705","power"
"1706","plant"
"1707","feasibility"
"1708","and"
"1709","poses"
"1710","further"
"1711","delays"
"1712","for"
"1713","new"
"1714","nuclear"
"1715","plants"
"1716","in"
"1717","that"
"1718","state"
"1719","although"
"1720","the"
"1721","california"
"1722","antinuclear"
"1723","initiative"
"1724","did"
"1725","not"
"1726","pass"
"1727","at"
"1728","least"
"1729","five"
"1730","other"
"1731","states"
"1732","have"
"1733","similar"
"1734","initiatives"
"1735","on"
"1736","the"
"1737","november"
"1738","ballot"
"1739","amendments"
"1740","to"
"1741","the"
"1742","otean"
"1743","atr"
"1744","aot"
"1745","nosignificant"
"1746","deterioration"
"1747","of"
"1748","air"
"1749","quality"
"1750","regulations"
"1751","published"
"1752","by"
"1753","epa"
"1754","were"
"1755","upheld"
"1756","by"
"1757","a"
"1758","recent"
"1759","court"
"1760","decision"
"1761","and"
"1762","congress"
"1763","is"
"1764","seeking"
"1765","to"
"1766","establish"
"1767","its"
"1768","own"
"1769","standards"
"1770","new"
"1771","amendments"
"1772","to"
"1773","the"
"1774","act"
"1775","have"
"1776","been"
"1777","passed"
"1778","by"
"1779","the"
"1780","senate"
"1781","and"
"1782","the"
"1783","house"
"1784","is"
"1785","currently"
"1786","debating"
"1787","their"
"1788","version"
"1789","both"
"1790","bills"
"1791","include"
"1792","tightening"
"1793","of"
"1794","the"
"1795","nosignificant"
"1796","deterioration"
"1797","requirements"
"1798","for"
"1799","clean"
"1800","areas"
"1801","some"
"1802","relaxation"
"1803","of"
"1804","the"
"1805","automotive"
"1806","emission"
"1807","standards"
"1808","compliance"
"1809","date"
"1810","extensions"
"1811","for"
"1812","industrial"
"1813","and"
"1814","utilities"
"1815","emission"
"1816","sources"
"1817","and"
"1818","additional"
"1819","controls"
"1820","for"
"1821","polluted"
"1822","areas"
"1823","energy"
"1824","technology"
"1825","erda"
"1826","has"
"1827","developed"
"1828","a"
"1829","national"
"1830","plan"
"1831","for"
"1832","multibillion"
"1833","dollar"
"1834","development"
"1835","and"
"1836","commercialization"
"1837","of"
"1838","new"
"1839","technologies"
"1840","enhanced"
"1841","oil"
"1842","and"
"1843","gas"
"1844","recovery"
"1845","oil"
"1846","shale"
"1847","geothermal"
"1848","solar"
"1849","nuclear"
"1850","synthetic"
"1851","fuels"
"1852","and"
"1853","conservation"
"1854","energy"
"1855","efficiency"
"1856","technologies"
"1857","international"
"1858","world"
"1859","crude"
"1860","prices"
"1861","remain"
"1862","steady"
"1863","with"
"1864","the"
"1865","decision"
"1866","by"
"1867","opec"
"1868","members"
"1869","in"
"1870","may"
"1871","to"
"1872","postpone"
"1873","further"
"1874","price"
"1875","increases"
"1876","however"
"1877","some"
"1878","price"
"1879","increases"
"1880","may"
"1881","be"
"1882","forthcoming"
"1883","after"
"1884","the"
"1885","december"
"1886","meeting"
"1887","the"
"1888","international"
"1889","energy"
"1890","agency"
"1891","has"
"1892","just"
"1893","approved"
"1894","a"
"1895","detailed"
"1896","guide"
"1897","for"
"1898","sharing"
"1899","all"
"1900","available"
"1901","oil"
"1902","in"
"1903","case"
"1904","of"
"1905","a"
"1906","new"
"1907","oil"
"1908","embargo"
"1909","to"
"1910","reduce"
"1911","its"
"1912","members"
"1913","dependence"
"1914","on"
"1915","foreign"
"1916","oil"
"1917","iea"
"1918","also"
"1919","has"
"1920","a"
"1921","longrange"
"1922","program"
"1923","which"
"1924","includes"
"1925","tough"
"1926","conservation"
"1927","policies"
"1928","incentives"
"1929","such"
"1930","as"
"1931","guaranteed"
"1932","minimum"
"1933","prices"
"1934","to"
"1935","stimulate"
"1936","other"
"1937","indigenous"
"1938","energy"
"1939","resources"
"1940","and"
"1941","stepped"
"1942","up"
