"","dictionary"
"1","exhibit"
"2","h"
"3","report"
"4","to"
"5","board"
"6","of"
"7","directors"
"8","manufacturing"
"9","chemists"
"10","association"
"11","ronald"
"12","s"
"13","wishart"
"14","jrf"
"15","chairman"
"16","energy"
"17","conservation"
"18","committee"
"19","september"
"20","this"
"21","is"
"22","the"
"23","first"
"24","report"
"25","of"
"26","the"
"27","energy"
"28","conservation"
"29","committee"
"30","established"
"31","by"
"32","the"
"33","board"
"34","of"
"35","directors"
"36","at"
"37","its"
"38","november"
"39","meeting"
"40","up"
"41","to"
"42","that"
"43","date"
"44","and"
"45","beginning"
"46","in"
"47","october"
"48","an"
"49","ad"
"50","hoc"
"51","committee"
"52","had"
"53","dealt"
"54","with"
"55","energy"
"56","conservation"
"57","matters"
"58","from"
"59","october"
"60","onward"
"61","the"
"62","committee"
"63","has"
"64","maintained"
"65","where"
"66","legally"
"67","feasible"
"68","a"
"69","close"
"70","liaison"
"71","and"
"72","active"
"73","cooperation"
"74","with"
"75","the"
"76","department"
"77","of"
"78","comm"
"79","rce"
"80","and"
"81","with"
"82","the"
"83","fea"
"84","and"
"85","its"
"86","contractors"
"87","since"
"88","its"
"89","establishment"
"90","two"
"91","major"
"92","responsibilities"
"93","the"
"94","committee"
"95","has"
"96","been"
"97","dealing"
"98","with"
"99","supervising"
"100","the"
"101","ongoing"
"102","voluntary"
"103","program"
"104","of"
"105","twiceyearly"
"106","reports"
"107","on"
"108","energy"
"109","conservation"
"110","to"
"111","the"
"112","department"
"113","of"
"114","commerce"
"115","and"
"116","the"
"117","f"
"118","deral"
"119","energy"
"120","administration"
"121","as"
"122","of"
"123","the"
"124","preparation"
"125","of"
"126","this"
"127","report"
"128","the"
"129","most"
"130","recent"
"131","energy"
"132","conservation"
"133","report"
"134","was"
"135","that"
"136","submitt"
"137","d"
"138","in"
"139","april"
"140","of"
"141","this"
"142","year"
"143","in"
"144","which"
"145","mca"
"146","member"
"147","companies"
"148","participated"
"149","the"
"150","report"
"151","showed"
"152","energy"
"153","conservation"
"154","for"
"155","the"
"156","calendar"
"157","year"
"158","as"
"159","per"
"160","unit"
"161","of"
"162","output"
"163","compared"
"164","with"
"165","as"
"166","a"
"167","base"
"168","year"
"169","without"
"170","the"
"171","energy"
"172","costs"
"173","of"
"174","osha"
"175","and"
"176","environmental"
"177","regulations"
"178","in"
"179","effect"
"180","in"
"181","but"
"182","not"
"183","in"
"184","the"
"185","energy"
"186","conserva­"
"187","tion"
"188","rate"
"189","would"
"190","have"
"191","been"
"192","an"
"193","overriding"
"194","reason"
"195","for"
"196","the"
"197","relative"
"198","modesty"
"199","of"
"200","these"
"201","figures"
"202","was"
"203","that"
"204","due"
"205","to"
"206","the"
"207","recession"
"208","our"
"209","industry"
"210","was"
"211","operating"
"212","at"
"213","only"
"214","of"
"215","capacity"
"216","in"
"217","com­"
"218","pared"
"219","with"
"220","in"
"221","there"
"222","are"
"223","very"
"224","few"
"225","major"
"226","mca"
"227","member"
"228","companies"
"229","not"
"230","taking"
"231","part"
"232","in"
"233","mcas"
"234","energy"
"235","reporting"
"236","program"
"237","or"
"238","those"
"239","of"
"240","other"
"241","relevant"
"242","associ­"
"243","ations"
"244","such"
"245","as"
"246","the"
"247","fertilizer"
"248","institute"
"249","and"
"250","the"
"251","pharmaceutical"
"252","manufacturers"
"253","association"
"254","these"
"255","few"
"256","companies"
"257","have"
"258","been"
"259","individually"
"260","contacted"
"261","and"
"262","will"
"263","hopefully"
"264","be"
"265","taking"
"266","part"
"267","in"
"268","the"
"269","next"
"270","report"
"271","to"
"272","the"
"273","two"
"274","federal"
"275","agencies"
"276","due"
"277","in"
"278","midseptember"
"279","this"
"280","voluntary"
"281","program"
"282","is"
"283","the"
"284","result"
"285","ofan"
"286","october"
"287","meeting"
"288","between"
"289","top"
"290","commerce"
"291","department"
"292","and"
"293","fea"
"294","officials"
"295","and"
"296","top"
"297","officials"
"298","of"
"299","some"
"300","major"
"301","chemical"
"302","companies"
"303","all"
"304","mca"
"305","members"
"306","at"
"307","this"
"308","meeting"
"309","there"
"310","was"
"311","agr"
"312","ement"
"313","on"
