"","dictionary"
"1","this"
"2","reflects"
"3","a"
"4","chemical"
"5","trade"
"6","balance"
"7","of"
"8","about"
"9","million"
"10","in"
"11","the"
"12","chemical"
"13","industry"
"14","of"
"15","each"
"16","country"
"17","has"
"18","substantial"
"19","direct"
"20","investment"
"21","in"
"22","the"
"23","other"
"24","country"
"25","in"
"26","many"
"27","cases"
"28","canadian"
"29","subsidiaries"
"30","of"
"31","us"
"32","companies"
"33","produce"
"34","intermediate"
"35","or"
"36","finished"
"37","products"
"38","not"
"39","only"
"40","for"
"41","the"
"42","canadian"
"43","market"
"44","but"
"45","also"
"46","for"
"47","the"
"48","united"
"49","states"
"50","and"
"51","third"
"52","country"
"53","markets"
"54","in"
"55","addition"
"56","the"
"57","strengths"
"58","of"
"59","the"
"60","us"
"61","and"
"62","canadian"
"63","chemical"
"64","industries"
"65","complement"
"66","each"
"67","other"
"68","canada"
"69","has"
"70","a"
"71","rich"
"72","base"
"73","in"
"74","natural"
"75","resources"
"76","especially"
"77","in"
"78","hydrocarbons"
"79","with"
"80","installed"
"81","capacity"
"82","for"
"83","large"
"84","volumes"
"85","of"
"86","certain"
"87","basic"
"88","chemicals"
"89","and"
"90","inter­"
"91","mediates"
"92","the"
"93","united"
"94","states"
"95","has"
"96","a"
"97","highly"
"98","developed"
"99","basic"
"100","chemical"
"101","and"
"102","downstream"
"103","chemical"
"104","processing"
"105","industry"
"106","as"
"107","well"
"108","as"
"109","capacity"
"110","to"
"111","produce"
"112","a"
"113","variety"
"114","of"
"115","commodity"
"116","chemicals"
"117","the"
"118","united"
"119","us"
"120","dept"
"121","of"
"122","commerce"
"123","bureau"
"124","of"
"125","census"
"126","highlights"
"127","of"
"128","us"
"129","export"
"130","and"
"131","import"
"132","trade"
"133","ft"
"134","december"
"135","cma"
"136","states"
"137","also"
"138","has"
"139","the"
"140","worlds"
"141","largest"
"142","market"
"143","for"
"144","products"
"145","of"
"146","the"
"147","chemical"
"148","industry"
"149","iii"
"150","specific"
"151","comments"
"152","any"
"153","bilateral"
"154","free"
"155","trade"
"156","agreement"
"157","must"
"158","confer"
"159","balanced"
"160","benefits"
"161","to"
"162","both"
"163","the"
"164","united"
"165","states"
"166","and"
"167","canada"
"168","cma"
"169","believes"
"170","that"
"171","the"
"172","benefits"
"173","of"
"174","any"
"175","bilateral"
"176","agreement"
"177","must"
"178","be"
"179","evenhanded"
"180","one"
"181","country"
"182","must"
"183","not"
"184","benefit"
"185","to"
"186","the"
"187","detriment"
"188","of"
"189","the"
"190","other"
"191","the"
"192","statutory"
"193","authorityfor"
"194","such"
"195","agreements"
"196","supports"
"197","this"
"198","contention"
"199","section"
"200","of"
"201","the"
"202","trade"
"203","act"
"204","of"
"205","as"
"206","amended"
"207","by"
"208","section"
"209","of"
"210","the"
"211","trade"
"212","and"
"213","tariff"
"214","act"
"215","of"
"216","indicates"
"217","that"
"218","such"
"219","negotiations"
"220","should"
"221","be"
"222","conducted"
"223","on"
"224","the"
"225","basis"
"226","of"
"227","mutuality"
"228","moreover"
"229","the"
"230","legislative"
"231","history"
"232","of"
"233","the"
"234","act"
"235","states"
"236","the"
"237","intention"
"238","of"
"239","congress"
"240","that"
"241","bilateral"
"242","agreements"
"243","of"
"244","the"
"245","sort"
"246","proposed"
"247","with"
"248","canada"
"249","must"
"250","be"
"251","reciprocal"
"252","and"
"253","mutually"
"254","advantageous"
"255","as"
"256","amended"
"257","by"
"258","section"
"259","a"
"260","of"
"261","the"
"262","trade"
"263","and"
"264","tariff"
"265","cma"
"266","any"
"267","free"
"268","trade"
"269","agreement"
"270","with"
"271","canada"
"272","must"
"273","address"
"274","nontariff"
"275","barriers"
"276","to"
"277","trade"
"278","negotiations"
"279","on"
"280","the"
"281","elimination"
"282","of"
"283","preferential"
"284","canadian"
"285","chemical"
"286","feedstock"
"287","and"
"288","energy"
"289","policies"
"290","and"
"291","foreign"
"292","investment"
"293","restrictions"
"294","must"
"295","be"
"296","an"
"297","integral"
"298","part"
"299","of"
"300","any"
"301","free"
"302","trade"
"303","negotiations"
"304","with"
"305","canada"
"306","cma"
"307","believes"
"308","that"
"309","the"
"310","negotiations"
"311","between"
"312","the"
"313","united"
"314","states"
"315","and"
"316","canada"
"317","on"
"318","a"
"319","bilateral"
"320","free"
"321","trade"
"322","agreement"
"323","should"
"324","not"
"325","be"
"326","limited"
"327","to"
"328","the"
"329","subject"
"330","of"
"331","tariffcutting"
"332","the"
"333","elimination"
"334","of"
"335","trade"
"336","distortions"
"337","caused"
"338","by"
"339","preferential"
"340","canadian"
"341","chemical"
"342","feedstock"
"343","and"
"344","energy"
"345","policies"
"346","and"
"347","by"
"348","canadian"
"349","foreign"
"350","investment"
"351","restrictions"
"352","must"
"353","also"
"354","be"
"355","adequately"
"356","addressed"
"357","in"
"358","such"
"359","negotiations"
"360","furthermore"
"361","we"
"362","believe"
"363","that"
"364","the"
"365","us"
"366","gov"
"367","rnment"
"368","must"
"369","not"
"370","commit"
"371","itself"
"372","to"
"373","eliminating"
"374","any"
"375","tariffs"
"376","prior"
"377","to"
"378","obtaining"
"379","canadian"
"380","agreement"
"381","to"
"382","eliminate"
"383","the"
"384","trade"
"385","distorting"
"386","effects"
"387","of"
"388","these"
"389","restrictive"
"390","policies"
"391","ample"
"392","support"
"393","for"
"394","the"
"395","inclusion"
"396","of"
"397","nontariff"
"398","barriers"
"399","in"
"400","such"
"401","negotiations"
"402","is"
"403","found"
"404","in"
"405","the"
"406","trade"
"407","act"
"408","of"
"409","and"
"410","the"
"411","trade"
"412","and"
"413","tariff"
"414","act"
"415","of"
"416","sections"
"417","a"
"418","and"
"419","of"
"420","the"
"421","trade"
"422","act"
"423","of"
"424","cma"
"425","canadian"
"426","raw"
"427","material"
"428","and"
"429","energy"
"430","policies"
"431","cma"
"432","believes"
"433","that"
"434","the"
"435","internal"
"436","energy"
"437","policies"
"438","implemented"
"439","under"
"440","the"
"441","canadian"
"442","national"
"443","energy"
"444","policy"
"445","cnep"
"446","have"
"447","had"
"448","an"
"449","adverse"
"450","effect"
"451","on"
"452","market"
"453","mechanisms"
"454","in"
"455","canada"
"456","and"
"457","on"
"458","canadian"
"459","trade"
"460","with"
"461","the"
"462","united"
"463","states"
"464","in"
"465","energyrelated"
"466","products"
"467","such"
"468","as"
"469","chemicals"
"470","we"
"471","understand"
"472","that"
"473","the"
"474","cnep"
"475","is"
"476","under"
"477","review"
"478","by"
"479","the"
"480","canadian"
"481","government"
"482","and"
"483","is"
"484","likely"
"485","to"
"486","be"
"487","changed"
"488","in"
"489","any"
"490","case"
"491","as"
"492","part"
"493","of"
"494","a"
"495","bilateral"
"496","free"
"497","trade"
"498","agreement"
"499","we"
"500","urge"
"501","that"
"502","the"
"503","united"
"504","states"
"505","government"
"506","ensure"
"507","that"
"508","present"
"509","and"
"510","future"
"511","canadian"
"512","governments"
"513","feedstock"
